Crop_Type,Nitrogen,Potassium,Phosphorous,Fertilizer
Barley,5.0,18.0,15.0,10-26-26
Barley,7.0,9.0,30.0,14-35-14
Barley,12.0,10.0,13.0,17-17-17
Barley,12.0,10.0,13.0,17-17-17
Barley,12.0,10.0,13.0,17-17-17
Barley,12.0,10.0,13.0,17-17-17
Barley,21.0,0.0,28.0,28-28
Barley,21.0,0.0,19.0,28-28
Barley,7.0,9.0,30.0,14-35-14
Barley,7.0,9.0,30.0,14-35-14
Barley,7.0,9.0,30.0,14-35-14
Barley,5.0,18.0,15.0,10-26-26
Barley,12.0,0.0,42.0,DAP
Barley,10.0,0.0,35.0,DAP
Barley,10.0,0.0,35.0,DAP
Barley,10.0,0.0,35.0,DAP
Barley,5.0,18.0,15.0,10-26-26
Barley,12.0,0.0,42.0,DAP
Barley,12.0,0.0,42.0,DAP
Barley,21.0,0.0,28.0,28-28
Barley,21.0,0.0,28.0,28-28
Barley,21.0,0.0,28.0,28-28
Barley,21.0,0.0,19.0,28-28
Barley,10.0,0.0,35.0,DAP
Barley,21.0,0.0,19.0,28-28
Barley,21.0,0.0,19.0,28-28
Barley,5.0,18.0,15.0,10-26-26
Barley,12.0,0.0,42.0,DAP
Coffee,80.0,30.0,25.0,Urea
Coffee,80.0,30.0,25.0,Urea
Coffee,80.0,30.0,25.0,Urea
Coffee,85.0,33.0,25.0,Urea
Coffee,85.0,33.0,25.0,Urea
Coffee,85.0,33.0,25.0,Urea
Coffee,117.0,34.0,25.0,DAP
Coffee,116.0,23.0,25.0,DAP
Coffee,117.0,34.0,25.0,DAP
Coffee,116.0,23.0,25.0,DAP
Coffee,80.0,30.0,25.0,Urea
Coffee,85.0,33.0,25.0,Urea
Coffee,116.0,23.0,25.0,DAP
Coffee,116.0,23.0,25.0,DAP
Coffee,117.0,34.0,25.0,DAP
Coffee,117.0,34.0,25.0,DAP
Cotton,14.0,0.0,38.0,DAP
Cotton,24.0,0.0,20.0,28-28
Cotton,11.0,12.0,15.0,17-17-17
Cotton,11.0,12.0,15.0,17-17-17
Cotton,11.0,12.0,15.0,17-17-17
Cotton,9.0,9.0,29.0,14-35-14
Cotton,24.0,0.0,20.0,28-28
Cotton,8.0,10.0,31.0,14-35-14
Cotton,8.0,10.0,31.0,14-35-14
Cotton,8.0,10.0,31.0,14-35-14
Cotton,14.0,0.0,38.0,DAP
Cotton,22.0,26.0,38.0,Potassium sulfate.
Cotton,9.0,9.0,29.0,14-35-14
Cotton,24.0,0.0,20.0,28-28
Cotton,7.0,9.0,30.0,14-35-14
Cotton,9.0,9.0,29.0,14-35-14
Cotton,8.0,10.0,31.0,14-35-14
Cotton,9.0,9.0,29.0,14-35-14
Cotton,7.0,9.0,30.0,14-35-14
Cotton,36.0,0.0,0.0,Urea
Cotton,36.0,0.0,0.0,Urea
Cotton,36.0,0.0,0.0,Urea
Cotton,39.0,0.0,0.0,Urea
Cotton,39.0,0.0,0.0,Urea
Cotton,39.0,0.0,0.0,Urea
Cotton,7.0,9.0,30.0,14-35-14
Cotton,11.0,12.0,15.0,17-17-17
Cotton,36.0,0.0,0.0,Urea
Cotton,39.0,0.0,0.0,Urea
Cotton,7.0,9.0,30.0,14-35-14
